sigla_partido,ano,mes,total_gasto,total_notas,total_deputados,media_por_nota,rank_mes
PL,2024,11,23497.870000000003,17,1,1382.2276470588238,1
PL,2024,12,30705.960000000003,26,1,1180.9984615384617,1
PL,2025,1,32947.03,28,1,1176.6796428571429,1
PL,2025,2,40143.45999999999,34,1,1180.6899999999998,1
PL,2025,3,57325.05999999999,52,1,1102.4049999999997,1
PL,2025,4,56058.07,52,1,1078.0398076923077,1
PL,2025,5,54578.22999999999,57,1,957.5128070175437,1
PL,2025,6,51084.619999999995,56,1,912.2253571428571,1
PL,2025,7,57809.19,65,1,889.3721538461539,1
PL,2025,8,34899.63000000001,38,1,918.411315789474,1
PL,2025,9,31624.819999999996,29,1,1090.5110344827585,1
PL,2025,10,23261.060000000005,25,1,930.4424000000002,1